particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-6684.64940944388	-6097.523192059328	-2082.820046924188	-289.2096238076959	-2.479187064234885	2.470739779545211	-0.03850859245365054	-0.02100726543913216	0.001811177407819994	5.302757629176265e-05	-2.27783274291405e-05	1.800955729167414e-06	3.421852710443182e-08	-2.234661976786761e-08	2.270726553933716e-09	-3.668542740541728e-11	-1.990306066068582e-11	2.80289769276461e-12	-1.093715253950719e-13	-1.993284421417751e-14	3.413075622260108e-15	-4.394735412926405e-17	-4.739190017422689e-17	-2.014489578128595e-18	9.059225244700819e-05	0.005834475933822469	2e-10	1e-05
-99	-6786.841962100654	-6186.449582387562	-2111.577738551624	-292.9033608786552	-2.478738954391452	2.501676933472603	-0.03934069941502501	-0.02124331090703881	0.001835168896638078	5.326220604681869e-05	-2.302938023235238e-05	1.824086848247391e-06	3.420182498160353e-08	-2.257540941484036e-08	2.297349466623181e-09	-3.7471404702181e-11	-2.008796138825817e-11	2.833115093709555e-12	-1.108481914901348e-13	-2.011009987334923e-14	3.448453313748436e-15	-4.468401124834391e-17	-4.786077904727907e-17	-2.033336788206852e-18	1.686272500056596e-05	0.00582292920566585	2e-10	1e-05
-98	-6887.506529628691	-6273.865693841766	-2139.774515872938	-296.5103630637406	-2.476547273065305	2.531855980621245	-0.040172217403806	-0.02147204821224865	0.001858649234302898	5.346642791947828e-05	-2.327233471545161e-05	1.846687593200213e-06	3.415962181874889e-08	-2.279564670503383e-08	2.323218196877583e-09	-3.825744404140977e-11	-2.026457590038712e-11	2.86230962240315e-12	-1.122953046980971e-13	-2.027875870820216e-14	3.482534320669557e-15	-4.541386914813533e-17	-4.831084855989059e-17	-2.051345715059701e-18	1.115356995606831e-05	0.005803187188689551	2e-10	1e-05
-97	-6986.468193978777	-6359.60995660035	-2167.354357431228	-300.0226685662836	-2.472521377269395	2.561208581617294	-0.0410023427640013	-0.02169287627933336	0.001881569426847073	5.363843562057161e-05	-2.350653453838038e-05	1.868708754757298e-06	3.409060235075749e-08	-2.300667233843056e-08	2.348268596625166e-09	-3.904281544360256e-11	-2.043229981251357e-11	2.890399772085372e-12	-1.13709945829574e-13	-2.043820748651748e-14	3.51521806644546e-15	-4.613588404235986e-17	-4.874069144421311e-17	-2.06845512224067e-18	3.100969354419281e-05	0.005774803693414543	2e-10	1e-05
-96	-7083.542419259973	-6443.512044237883	-2194.258253976049	-303.4319001996253	-2.466566906450239	2.589662848828255	-0.04183021884305169	-0.0219051636868429	0.001903877891250797	5.37763432768169e-05	-2.373129038991263e-05	1.890098545155683e-06	3.399339817528405e-08	-2.320779448424412e-08	2.372433243360223e-09	-3.98267394498287e-11	-2.059049956290049e-11	2.917299967193097e-12	-1.150890398485858e-13	-2.058780366114087e-14	3.546399004345296e-15	-4.684895094119087e-17	-4.914882118796528e-17	-2.084600819035889e-18	4.761859418311865e-05	0.005737319629598003	2e-10	1e-05
-95	-7178.534686536473	-6525.392547126336	-2220.424099356127	-306.7292506814152	-2.4585857041328	2.617143221578434	-0.04265493352192994	-0.02210824764624992	0.001925520361861435	5.387818340768588e-05	-2.394587888782675e-05	1.910802506035992e-06	3.386658672543116e-08	-2.339828773019385e-08	2.395641327939489e-09	-4.06083847243561e-11	-2.07385115092932e-11	2.942920429232976e-12	-1.164293501344851e-13	-2.072687448116534e-14	3.575966456724236e-15	-4.755190108905988e-17	-4.953367984347676e-17	-2.099715569322734e-18	1.202717663650876e-05	0.005745088293344414	2e-10	1e-05
-94	-7271.240015065593	-6605.062542613809	-2245.786546255868	-309.9054630525337	-2.448475697342417	2.643570299739023	-0.04347551610741517	-0.02230143262610166	0.001946439766368565	5.394190398952305e-05	-2.414954109383159e-05	1.930763386043051e-06	3.370868964250689e-08	-2.35773916526528e-08	2.417818504031989e-09	-4.138686505720581e-11	-2.087564068674087e-11	2.967166995160562e-12	-1.177274709063358e-13	-2.085471576336014e-14	3.603804396348298e-15	-4.824349867065148e-17	-4.989363503153104e-17	-2.113728966154557e-18	7.168692046222169e-05	0.005774813237593435	2e-10	1e-05
-93	-7361.442412167145	-6682.323100465562	-2270.276839925876	-312.9508080505998	-2.436130750121089	2.668860651338656	-0.04429093382278889	-0.02248398875505682	0.001966576082782735	5.396536495221001e-05	-2.434148078838524e-05	1.949920999542867e-06	3.351817077391996e-08	-2.374430915037516e-08	2.438886713672276e-09	-4.216123599574582e-11	-2.100115935378822e-11	2.989940906135345e-12	-1.189798185051794e-13	-2.097059045103341e-14	3.629791191558289e-15	-4.892243706534383e-17	-5.022697644180187e-17	-2.126567284887714e-18	0.0001082377796197687	0.005796826794390197	2e-10	1e-05
-92	-7448.914386122849	-6756.964846236544	-2293.822671910015	-315.8550643122551	-2.421440548267879	2.69292664441486	-0.04510008859126399	-0.02265515043748157	0.00198586621379525	5.394633531060017e-05	-2.452086297765368e-05	1.968212102765578e-06	3.329343463525968e-08	-2.389820501151285e-08	2.458764035513072e-09	-4.293049173310625e-11	-2.111430575283069e-11	3.011138625138125e-12	-1.201826237072618e-13	-2.107372739054449e-14	3.65379938708325e-15	-4.958733546766491e-17	-5.053191283617738e-17	-2.138153358059996e-18	8.424470504841963e-05	0.005810580778339181	2e-10	1e-05
-91	-7533.416403674815	-6828.767474481377	-2316.34801676954	-318.6074962348417	-2.404290465932619	2.715676258907289	-0.04590181348846326	-0.02281411480081573	0.002004243846425374	5.388248989165367e-05	-2.468681221823047e-05	1.985570255344519e-06	3.303282462239952e-08	-2.403820430289354e-08	2.477364514803351e-09	-4.36935616777102e-11	-2.121428271354823e-11	3.030651632205331e-12	-1.213319231421813e-13	-2.116331995151535e-14	3.675695457717786e-15	-5.023673513580983e-17	-5.08065686773408e-17	-2.148406434439092e-18	5.922723493667625e-05	0.005815507936489106	2e-10	1e-05
-90	-7614.696312806695	-6897.49923150624	-2337.772958863153	-321.1968305435548	-2.384561430600824	2.737012887656275	-0.04669486891957494	-0.02296004005836363	0.002021639303258074	5.377140596016712e-05	-2.483841085170624e-05	2.001925673691223e-06	3.273462121408065e-08	-2.416339067658063e-08	2.494597983870815e-09	-4.444930675252334e-11	-2.130025618912155e-11	3.048366208818847e-12	-1.224235501879504e-13	-2.123852458275151e-14	3.695339549296237e-15	-5.086909538004235e-17	-5.10489805889457e-17	-2.157242031297065e-18	3.316232471073377e-05	0.005811021556471729	2e-10	1e-05
-89	-7692.488683318642	-6962.916319733438	-2358.013491018207	-323.6112286876008	-2.362129721510229	2.756835101258436	-0.047477938582203	-0.02309204353796798	0.002037979368588638	5.361055862628658e-05	-2.49746968713521e-05	2.01720505873215e-06	3.239703920254835e-08	-2.427280429629642e-08	2.510369847586848e-09	-4.519651551381908e-11	-2.137135343275829e-11	3.064163176171024e-12	-1.234531243918474e-13	-2.129845899856757e-14	3.712585161890226e-15	-5.148278911768557e-17	-5.125709298833815e-17	-2.164571750300007e-18	6.027324747304164e-06	0.005796512757089256	2e-10	1e-05
-88	-7766.51435769556	-7024.762506903782	-2376.981388305438	-325.8382706989065	-2.336866985998291	2.775036512755659	-0.04824962562232119	-0.02320920066380322	0.0020531871821621	5.339732013466906e-05	-2.509466284431168e-05	2.031331493438068e-06	3.201822817690874e-08	-2.436544087620711e-08	2.524580967451979e-09	-4.593390031656393e-11	-2.142666225085338e-11	3.077917766830565e-12	-1.244160447781144e-13	-2.134220148306479e-14	3.727279002087774e-15	-5.207609933637376e-17	-5.142875617155535e-17	-2.170303202656862e-18	2.219994875607423e-05	0.005771358699126261	2e-10	1e-05
-87	-7836.479803590343	-7082.768544755905	-2394.584012973137	-327.8649287346388	-2.308640079983408	2.791505552775352	-0.04900844838799866	-0.02331054310062805	0.002067182071305497	5.31289559675627e-05	-2.519725390962926e-05	2.044224277181026e-06	3.159627041240006e-08	-2.444024975760421e-08	2.537127458323049e-09	-4.666009318249563e-11	-2.146522933771748e-11	3.089499380180154e-12	-1.2530747956663e-13	-2.136878924664357e-14	3.739260689012397e-15	-5.264721458125261e-17	-5.156172229317831e-17	-2.174339841215105e-18	5.154092088488493e-05	0.005734922319329594	2e-10	1e-05
-86	-7902.076263081708	-7136.651409002112	-2410.724060830553	-329.6775329460256	-2.277310891576005	2.806125180028308	-0.04975283464079969	-0.02339505638944043	0.002079879333612853	5.280262022088054e-05	-2.528136523225453e-05	2.055798711975717e-06	3.112917855773161e-08	-2.449613147940976e-08	2.547900428400834e-09	-4.737364018752507e-11	-2.148605818998105e-11	3.09877127201952e-12	-1.261223528448528e-13	-2.137721637526444e-14	3.748362382517259e-15	-5.319422298234512e-17	-5.165364030281027e-17	-2.176580750007043e-18	4.758248293901257e-05	0.005792289665498496	2e-10	1e-05
-85	-7962.979212340983	-7186.113822002038	-2425.299404193923	-331.2617508080314	-2.242736290992156	2.818772706791473	-0.05048111740629024	-0.02346167857220902	0.002091190103091446	5.241535367347564e-05	-2.534584053343068e-05	2.065965971910557e-06	3.061489518407543e-08	-2.453193641708284e-08	2.556785825626427e-09	-4.807299732713192e-11	-2.148810798737555e-11	3.10559037740401e-12	-1.268553362250577e-13	-2.136643275548106e-14	3.75440857481816e-15	-5.371510817379757e-17	-5.170205316961021e-17	-2.176920531933494e-18	9.818317403542665e-07	0.005841116814113034	2e-10	1e-05
