particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-1926.206329816897	-1241.127206658836	-188.058478949315	18.67133911715344	2.393266348996025	-0.6511106728894998	0.04161775262813636	0.007549179484719317	-0.002300264077925421	0.0002673700801767821	1.659431314356131e-07	-6.388515552868001e-06	1.356478922451363e-06	-1.37973393716299e-07	-3.335290152822997e-09	4.197420374691868e-09	-8.377560935033284e-10	7.344332869164494e-11	6.590479863630321e-12	-3.376968615665113e-12	4.669043241992267e-13	2.326505019859546e-14	-1.901069573970023e-14	-1.485014063872769e-15	5.679671690739241e-07	2.137016667003167e-05	4.202754667379372e-07	1e-05
-99	-1852.127682301383	-1191.804437961876	-180.1648427980173	17.95884836333425	2.283834960525816	-0.6241741527095945	0.0401771334936425	0.007180754745397739	-0.002200699452975022	0.0002568300806548764	-7.754203751477812e-08	-6.082801359389934e-06	1.296856395771397e-06	-1.325387682780568e-07	-3.035839022667943e-09	3.991960501404994e-09	-7.998355417556179e-10	7.051040044842201e-11	6.199415190409488e-12	-3.212875021398846e-12	4.457897307034705e-13	2.187640244891935e-14	-1.808787115745651e-14	-1.409553684205691e-15	8.266386226640776e-07	2.125328539204219e-05	4.202754667379372e-07	1e-05
-98	-1775.452276662138	-1140.846738007074	-172.0361824402101	17.22097533983596	2.171670005714535	-0.5964133175648221	0.03867593964866846	0.006804347163290754	-0.002098348081057871	0.0002459377385814528	-3.147645471648679e-07	-5.770141258911362e-06	1.23561493541371e-06	-1.269224815033264e-07	-2.736507530869505e-09	3.782049107440797e-09	-7.609435909691e-10	6.748183362520125e-11	5.803180820882057e-12	-3.045162051850585e-12	4.241322251226437e-13	2.046987817913828e-14	-1.714466652721857e-14	-1.332596435972439e-15	1.072963078163625e-06	2.107926597849641e-05	4.202754667379372e-07	1e-05
-97	-1696.391347962075	-1088.393302571001	-163.694376034891	16.4597550926382	2.057067094579626	-0.5679030949933234	0.03711840978681055	0.006420935088922237	-0.001993483084042459	0.0002347227394520279	-5.45231231856386e-07	-5.451352325462182e-06	1.172917347722947e-06	-1.211398039122278e-07	-2.438010649970044e-09	3.568233333000744e-09	-7.211830536169064e-10	6.436581967468271e-11	5.402781962219553e-12	-2.874268210735119e-12	4.019890972665087e-13	1.904905510253485e-14	-1.61835511714587e-14	-1.254342580417702e-15	1.306206606210836e-06	2.084928309042944e-05	4.202754667379372e-07	1e-05
-96	-1928.381398473113	-1248.15178567402	-192.3852121575675	18.05402683381051	2.500642358613228	-0.6408684993024453	0.03745770004790671	0.007877866796227062	-0.002240803262084008	0.0002472275414133276	2.498112485909937e-06	-6.31136324062845e-06	1.275419201373836e-06	-1.225662719461467e-07	-4.446345110210438e-09	4.008577522370731e-09	-7.647508034326176e-10	6.303452463020282e-11	6.659083234742659e-12	-3.078427862283755e-12	4.085222284272898e-13	2.281388423050319e-14	-1.6787559674293e-14	-1.324115989675999e-15	5.541038226031247e-07	2.536281849319089e-05	3.767642573276692e-07	1e-05
-95	-1865.013793691449	-1205.574956214828	-185.406077146475	17.46834298719072	2.401338918611261	-0.6180215489858145	0.03639287999992241	0.007543656816116362	-0.002156835788853589	0.0002389204706702024	2.187029499185937e-06	-6.048232335226252e-06	1.22682397516008e-06	-1.184628198583293e-07	-4.140281009649966e-09	3.837221618170841e-09	-7.346463155653857e-10	6.089259624680448e-11	6.316858890322588e-12	-2.947565229729779e-12	3.924503558558804e-13	2.163080876997428e-14	-1.607376442577446e-14	-1.26504811233855e-15	4.441540127908539e-07	2.546146028903351e-05	3.767642573276692e-07	1e-05
-94	-1798.013585131616	-1160.690779191894	-178.086044450965	16.84837092352201	2.297889493803383	-0.594027071413706	0.03525232504456524	0.007197051910778562	-0.002068990317411463	0.0002301558008069436	1.878321994719789e-06	-5.774993102481272e-06	1.176046076108393e-06	-1.141325823471095e-07	-3.830680183100705e-09	3.659554576025002e-09	-7.032606730198132e-10	5.863503768604389e-11	5.965826418965775e-12	-2.811824440878519e-12	3.756925643656595e-13	2.041799717835003e-14	-1.533338402224553e-14	-1.203969450872133e-15	1.994202007971069e-07	2.545282843180452e-05	3.767642573276692e-07	1e-05
-93	-1727.848761330786	-1113.793868450672	-170.468076102988	16.19849445475363	2.190807836725768	-0.5690294060962305	0.03404570778602103	0.006839580681142522	-0.001977750853195839	0.0002209908539401094	1.571664391116262e-06	-5.492904584929418e-06	1.123357430931178e-06	-1.096036967710832e-07	-3.518024577431808e-09	3.476369871046111e-09	-6.707538827097979e-10	5.627608803482811e-11	5.607143786756119e-12	-2.671823311183158e-12	3.583346539342153e-13	1.917945263694211e-14	-1.456980383677108e-14	-1.141139924857438e-15	3.650209967620555e-07	2.537415858494541e-05	3.767642573276692e-07	1e-05
-92	-1654.641580726407	-1064.970503093605	-162.5674118825025	15.51983390743356	2.080330641629544	-0.5430777025222023	0.03277472378064015	0.006472079664298463	-0.001883307385539312	0.0002114425238838536	1.26818671890039e-06	-5.202613765818753e-06	1.068869572656909e-06	-1.048845343780458e-07	-3.20326556931205e-09	3.288094172596271e-09	-6.37196712460428e-10	5.382019734262128e-11	5.241751489475284e-12	-2.527885529515259e-12	3.404143280499869e-13	1.791843276272814e-14	-1.37847875105919e-14	-1.0767097684425e-15	1.094023248104925e-06	2.521468604710364e-05	3.767642573276692e-07	1e-05
-91	-1581.606706302824	-1016.318380038081	-154.7110120901989	14.84230864403405	1.970798530660376	-0.5172540606542622	0.03149923331391714	0.006108508583766021	-0.001789486835644349	0.0002019195602702736	9.752932504042139e-07	-4.915285696226818e-06	1.014769723950377e-06	-1.00176140359503e-07	-2.896295881334104e-09	3.101917614207092e-09	-6.039168336564056e-10	5.137064534574713e-11	4.882715541852041e-12	-2.385545859822728e-12	3.226414887426404e-13	1.668029880937589e-14	-1.300860942353037e-14	-1.013126442253737e-15	1.871393428221069e-06	2.503721892921362e-05	3.767642573276692e-07	1e-05
