particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
-25	-509.3981091762348	-266.438802377379	-24.71726295368965	5.716327058387933	0.1526349974022694	-0.1636043667729026	0.017101599236415	0.00242839820225022	-0.0008686216948529922	1.923413306648008e-05	3.304253490748671e-05	2.495108792310079e-06	1.61003678167404e-08	1.790278235658249e-06	1.398433494496983e-06	1e-05
-24	-508.1189085923686	-266.6946711289696	-25.31212481488967	5.611356525550128	0.1735240966300184	-0.1609013354726864	0.01607323593006748	0.002435574700103652	-0.0008285321341394395	1.555433730365527e-05	3.119315193599974e-05	2.36335328014127e-06	5.212240417051817e-09	3.535283336741912e-06	1.253653374216174e-06	1e-05
-23	-305.0010870152102	-106.1377792213444	12.65383430862338	5.423673071774297	-0.7154682373005635	-0.116673175662731	0.03700660505141122	-0.0003888337599488332	-0.001269934416879608	0.0001236675882643745	5.19899243315323e-05	3.31273519653766e-06	1.043690547319898e-07	2.853178874717699e-06	1.123862370908758e-06	1e-05
-22	-244.9539184030064	-59.7753356059747	23.36691490568633	5.404293952570248	-0.9433836524626812	-0.1062506974698098	0.0417822458945605	-0.001002482840770766	-0.001353344369062118	0.0001437722238098423	5.518091142832045e-05	3.422044637906397e-06	1.220177237026832e-07	4.279238448257061e-06	1.007508658072544e-06	1e-05
-21	-322.7372975341324	-124.6420299379122	6.663742633636902	5.197607927992649	-0.5432261407344103	-0.1167539660958925	0.03133599964262205	9.021956694313053e-05	-0.001100700222621556	9.565616800949295e-05	4.383083846085456e-05	2.827345399859257e-06	1.035163297302688e-07	3.910857166000703e-06	1.007508658072544e-06	1e-05
-20	-274.412160337898	-87.89968115060331	14.97184988945469	5.163624004626331	-0.7141914901714718	-0.1082837133750883	0.03470409118241179	-0.0003643586071314592	-0.001152838284841091	0.0001094169668923991	4.568452520735606e-05	2.873268971072767e-06	3.711605702783061e-07	5.632401285815547e-06	9.032010701366824e-07	1e-05
-19	-232.9198142574245	-56.75200019652647	21.93365224658195	5.15159715594954	-0.8488125276269231	-0.102009705775548	0.03713579394751182	-0.0006821671931327456	-0.001183431118242752	0.0001176880467448046	4.644473946847595e-05	2.867229529611404e-06	1.111929077701745e-07	7.783337449662753e-06	8.096924692009039e-07	1e-05
-18	-198.5261161512557	-31.42657717487964	27.47044070873924	5.149014638148588	-0.9468865305238334	-0.09751735255149099	0.03864164856852633	-0.000879379063470234	-0.001193025771547141	0.0001211635008896337	4.622445297071004e-05	2.814586031978101e-06	3.454041673789376e-07	1.055473448086097e-05	7.25864833819832e-07	1e-05
-17	-172.4231381856967	-12.88662604521688	31.3242971809371	5.141596598027792	-1.004385613570704	-0.09452277670584019	0.03914375728009946	-0.0009614468802216375	-0.001180305230433515	0.0001200991768270557	4.504848193904903e-05	2.716511546449047e-06	5.548487684858827e-07	1.384681794258658e-05	6.50715891548648e-07	1e-05
-16	-156.4822573619496	-2.631711454999645	33.10458091907304	5.112024033913215	-1.014762952232551	-0.09278114928835701	0.03850928926126632	-0.0009284218696734621	-0.001142858865521603	0.0001145268337157054	4.289540028212709e-05	2.572000125927694e-06	2.798483629273818e-07	1.743740025139662e-05	5.833471354241853e-07	1e-05
-15	-152.0260422991364	-1.716051608588431	32.52866139011622	5.04223963817337	-0.9742600953428269	-0.09193484871420196	0.03667528417829684	-0.0007880416414319599	-0.001079853496233977	0.0001047661198737509	3.980689392983638e-05	2.383107343807924e-06	1.662778120747888e-07	2.115084365961195e-05	5.229530811023117e-07	1e-05
-14	-61.73016341325678	68.0385144279881	49.36861240329389	5.429396495198818	-1.274400193707016	-0.08946950293709949	0.04253981427003741	-0.001221777362864718	-0.001176766980043622	0.0001181130169939108	4.220307528397497e-05	2.461862827280874e-06	3.48465399424569e-07	3.05305192841443e-05	4.202754667379372e-07	1e-05
-13	-97.14492927657255	36.67744069094535	40.62000913630052	5.182112121365186	-1.064915943414726	-0.09042744404531552	0.03679971270674854	-0.0007665780261446077	-0.001031755588312642	9.600554255273478e-05	3.626698511033949e-05	2.13680854554817e-06	1.277566421764575e-06	3.310070197826143e-05	3.767642573276692e-07	1e-05
-12	-146.8997023665464	-6.242595057888351	28.87849046746761	4.821943314688222	-0.8022386664058905	-0.09053446664869381	0.02992194950582363	-0.000260646041414285	-0.0008647658743173049	7.187495530116118e-05	2.978048380303094e-05	1.786226509981422e-06	9.769809066195734e-07	3.597876051375515e-05	3.377577727804503e-07	1e-05
-11	-178.4256375023373	-34.39163416829479	20.98476065253018	4.604765478740879	-0.6097061117554051	-0.09139181960601385	0.02462797330823753	0.0001519710898341924	-0.0007311871675291117	5.195171673152156e-05	2.439799856005668e-05	1.491987064178349e-06	3.464958686638653e-07	4.155332848532201e-05	2.714417616594906e-07	1e-05
-10	-296.3586729195716	-131.3755514421009	-4.423993521629985	3.798013458529427	-0.1023578539425698	-0.0898511741437706	0.01256155312953856	0.0009577595968349474	-0.0004641447954306801	1.617904059133091e-05	1.505589912544066e-05	1.00816567165795e-06	2.764258892562488e-06	5.407108069910294e-05	2.18146363786872e-07	1e-05
-9	-510.4031325167193	-304.5938360768525	-49.41792201694564	2.174113393469385	0.7258366578814746	-0.08141746155141717	-0.006099319843363076	0.002032951503877947	-7.276128270996476e-05	-3.124199282416446e-05	2.511689289972554e-06	3.713679106553845e-07	1.134377163536371e-06	0.0002040226681081503	1.753150868993058e-07	1e-05
-8	4178.353313834263	4485.549261157228	1781.416849673175	273.1819385922092	-7.125056479088485	-5.629227146426628	0.09726276373047428	0.122832982733543	-0.001698899121132201	-0.003126226101463798	-0.0003234066807962794	-1.053476801776258e-05	9.924181632037232e-07	0.0002764918035886854	1.408933853444354e-07	1e-05
-7	6572.514056086715	6933.018507544055	2724.940437738072	418.4788054302342	-9.118098592138789	-8.333252646248303	0.1021150183293579	0.1775103065060922	-0.001546488358382163	-0.00439001849750523	-0.0004613842643874155	-1.520727488817389e-05	2.157861734630728e-06	0.0004399955672369504	1.132301069172511e-07	1e-05
-6	10836.00610135738	11263.14954018798	4389.156648319911	677.6437320920837	-10.76898855775268	-12.82775090108534	0.07348102966817395	0.263049129096101	-0.0006456960983327601	-0.006219074324740415	-0.0006618598463013637	-2.191420846117105e-05	1.094221048747457e-05	0.000755491921684337	8.157721730960482e-08	1e-05
-5	13244.48969326418	13692.52480374107	5335.008060422446	837.6632589166563	-6.497982388602511	-14.86316076206038	-0.04668801250585537	0.2907453060123605	0.001663219677687132	-0.006490836858064379	-0.00070238792998101	-2.332644382509377e-05	3.861474563660039e-06	0.0008093949038696646	5.268797569762922e-08	1e-05
-4	3939.348058360295	4356.649327347736	1812.863787922949	311.6351030162772	2.605907274731662	-5.256878451432445	-0.111559604012803	0.1014081482963102	0.002203218918076312	-0.002185576409894963	-0.000252899709678412	-8.691571047163124e-06	2.498514381144012e-05	0.003535433654362041	3.402938804076029e-08	1e-05
-3	-16597.55421034503	-16056.43518438138	-5898.268120750244	-889.2119660970366	-0.3504481113282204	13.07583725019643	0.1494232490468151	-0.2165139600893976	-0.002794211652465418	0.004054200367153525	0.0004199948814419799	1.314554060697871e-05	0.0003752314633042042	0.007989414088281466	1.583447740985584e-08	1e-05
-2	-1659.835513521023	-1570.679812882215	-577.6912353627879	-91.23930350516117	-1.557794949413465	1.155335623940512	0.03761899218736929	-0.01754559796858345	-0.0005738538703477233	0.000296761541155013	3.307161680186769e-05	1.061947230111595e-06	6.370069595185157e-05	0.01064246406754776	5.308359169167727e-09	1e-05
-1	-16617.22828740501	-18510.15831749199	-8574.486318919518	-2059.358433507532	-243.6905119232476	-4.324870166283236	2.183703965221135	0.1571462851807606	-0.01685497582265636	-0.003127010617163033	-0.0001792894201671967	-3.731606156276321e-06	5.214135637121586e-05	0.01003409260055343	2e-10	1e-05
0	-5621.679069500176	-6021.492029778263	-2683.273901767733	-618.4448521265067	-69.41097712350172	-0.8631940173644879	0.6274158293125468	0.04027081896259262	-0.004882821850443211	-0.0008313393360197704	-4.561500654466833e-05	-9.146493742610915e-07	8.457346108770025e-06	0.004260723678051526	2e-10	1e-05
1	-12085.577530812	-13677.77682251268	-6449.478353164313	-1580.681215096111	-192.1294252436098	-3.941576642090675	1.713278893816754	0.1306168566920986	-0.01315913753436799	-0.002556221416370249	-0.0001498124995470499	-3.174146964013074e-06	3.361996799999822e-05	0.006364334855664566	2e-10	1e-05
2	-11354.61467680956	-10899.59291042145	-4002.689432182633	-619.1077816691875	-7.628923574123991	7.947009640145703	0.2015679815999752	-0.119487812808479	-0.003044229456441255	0.002004695897886738	0.000212917989332603	6.624587843893992e-06	7.485197287726564e-05	0.01193410988733912	5.921403328592062e-09	1e-05
3	-5762.099596585484	-5221.5770084735	-1770.139351236438	-234.4315177913996	4.401945475747034	3.41616445914952	-0.04403735111371697	-0.05270657643387322	0.0006638920639530103	0.0009358309401445194	7.80774730651443e-05	2.003020919000602e-06	6.272830302300747e-05	0.01230207550747497	1.76631467941791e-08	1e-05
4	13378.60207356396	13715.76464166733	5311.394724739995	835.7805988831872	-3.001882033208534	-14.10781598860074	-0.1071504601004458	0.2650825379876319	0.002569763591654288	-0.00565555896469012	-0.0006118850479816106	-2.01585481980221e-05	5.236148869758317e-05	0.001336530680184023	3.795932513098986e-08	1e-05
5	12509.73970746545	12862.05461737427	4972.182496182168	768.5799084765911	-8.728814942079397	-13.82570404203555	0.01359354798365034	0.2718674803683643	0.0004938074633403403	-0.006128190638311366	-0.0006516078026198781	-2.13992284018511e-05	4.31396539579687e-06	0.002478803917703942	5.877272896016841e-08	1e-05
