particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	relative error min	relative error max	min radius	max radius
-100	-1926.204284848407	-1241.125780880364	-188.0582299014238	18.67132040961762	2.393262447777489	-0.6511098560144819	0.04161772548884176	0.007549165082895173	-0.002300260843220782	0.0002673698029664786	1.659200479345628e-07	-6.38850377664297e-06	1.356476953618449e-06	-1.379732604227382e-07	-3.335268748001648e-09	4.197411996613888e-09	-8.377547687725407e-10	7.344325988007325e-11	6.590457815919947e-12	-3.376961818079501e-12	4.66903591240188e-13	2.326496534594664e-14	-1.901065642249088e-14	-1.485010416940226e-15	5.679710957107176e-07	2.137016680503478e-05	4.202754667379372e-07	1e-05
-99	-1852.125623221337	-1191.803004741695	-180.1645931540312	17.95882950098812	2.283831063337612	-0.6241733330577143	0.04017710578101003	0.007180740389177678	-0.002200696213972378	0.0002568298013910776	-7.756476241215459e-08	-6.082789614970445e-06	1.296854425336043e-06	-1.325386337691998e-07	-3.035817873967809e-09	3.991952154171245e-09	-7.99834217710516e-10	7.051033094959178e-11	6.199393331830983e-12	-3.212868249583993e-12	4.457889980166548e-13	2.187631838373877e-14	-1.808783200338623e-14	-1.409550059392043e-15	8.266441648974165e-07	2.125328463931098e-05	4.202754667379372e-07	1e-05
-98	-1775.45027913205	-1140.845346144062	-172.0359395763421	17.22095705412018	2.171666206469976	-0.5964125206104589	0.03867591297760459	0.006804333150524304	-0.002098344927795477	0.000245937467645612	-3.147868856825796e-07	-5.770129799103587e-06	1.235613016511963e-06	-1.269223511051071e-07	-2.736486789627815e-09	3.782040958509588e-09	-7.609423005920624e-10	6.748176626645684e-11	5.803159427362882e-12	-3.045155440969097e-12	4.241315111150208e-13	2.046979588459746e-14	-1.714462829888553e-14	-1.332592893579515e-15	1.072966943294063e-06	2.107926487404654e-05	4.202754667379372e-07	1e-05
-97	-1696.389290883085	-1088.391874323944	-163.6941282924833	16.4597362142058	2.057063246562867	-0.5679022804391811	0.03711838155707181	0.006420920957640745	-0.001993479874902161	0.000234722460370339	-5.452531957919851e-07	-5.451340756489718e-06	1.17291539692263e-06	-1.211396691904617e-07	-2.437990095002996e-09	3.568225121575614e-09	-7.211817452301104e-10	6.436574999115614e-11	5.402760608937459e-12	-2.874261549800807e-12	4.01988373085311e-13	1.90489730588105e-14	-1.61835126769418e-14	-1.254339026324587e-15	1.306211510510025e-06	2.084927960566141e-05	4.202754667379372e-07	1e-05
-96	-1928.379583998425	-1248.150500923865	-192.3849800936181	18.05401121717225	2.500638609913094	-0.6408677759783149	0.03745768335565158	0.007877852947919298	-0.002240800397344039	0.0002472273233990735	2.498086762831242e-06	-6.311352453280293e-06	1.275417518269949e-06	-1.225661755796505e-07	-4.446323156815104e-09	4.008570030785431e-09	-7.647496926719108e-10	6.303447828600107e-11	6.659062478636098e-12	-3.078422004682782e-12	4.085216403613084e-13	2.281380550707064e-14	-1.678752653625117e-14	-1.324112839312808e-15	5.54088533499808e-07	2.536282340148688e-05	3.767642573276692e-07	1e-05
-95	-1865.012001393244	-1205.573687309215	-185.4058480040338	17.46832755517072	2.401335218404903	-0.6180208346106151	0.03639286345152206	0.007543643150970428	-0.002156832960189662	0.0002389202551527353	2.187004158228638e-06	-6.048221690646879e-06	1.226822313292927e-06	-1.184627245180118e-07	-4.140259380925322e-09	3.837214227674643e-09	-7.346452190881868e-10	6.089255036035809e-11	6.316838436069199e-12	-2.94755945193559e-12	3.924497753237364e-13	2.16307312182505e-14	-1.60737317450329e-14	-1.265045007045763e-15	4.441647291075768e-07	2.546146436688268e-05	3.767642573276692e-07	1e-05
-94	-1798.011789150492	-1160.68950990099	-178.0858158781735	16.84835543362944	2.297885814282249	-0.5940263580735179	0.03525230810023132	0.007197038346865216	-0.00206898749843791	0.0002301555846279297	1.878297061176304e-06	-5.774982532964552e-06	1.176044420687266e-06	-1.141324864838656e-07	-3.83065885726843e-09	3.659547244060632e-09	-7.032595821562686e-10	5.863499147552913e-11	5.965806206169051e-12	-2.811818709688978e-12	3.756919867183195e-13	2.041792058873562e-14	-1.5333351616665e-14	-1.203966376723734e-15	1.994268352678574e-07	2.545283220722894e-05	3.767642573276692e-07	1e-05
-93	-1727.84694649398	-1113.792588506531	-170.4678463983525	16.19847876677297	2.190804153365268	-0.5690286882340158	0.03404569019618041	0.006839567135349787	-0.001977748023354822	0.0002209906350968178	1.57163978190334e-06	-5.492894025247949e-06	1.123355770046559e-06	-1.09603599398307e-07	-3.518003474886991e-09	3.476362555007383e-09	-6.707527900575699e-10	5.627604098635157e-11	5.607123728147187e-12	-2.671817594034886e-12	3.583340752226696e-13	1.917937670549827e-14	-1.45697715283736e-14	-1.141136866978168e-15	3.650239253083498e-07	2.537416081827004e-05	3.767642573276692e-07	1e-05
-92	-1654.639808473239	-1064.969252755092	-162.5671873624942	15.51981859372379	2.080327039012269	-0.5430770010294598	0.03277470668206959	0.006472066409909458	-0.001883304619045812	0.0002114423102475379	1.268162589657194e-06	-5.20260343393522e-06	1.068867948779728e-06	-1.048844393741915e-07	-3.203244887880017e-09	3.28808701283326e-09	-6.371956438372589e-10	5.382015145334283e-11	5.241731841476087e-12	-2.527879934273289e-12	3.404137620746559e-13	1.79183583773368e-14	-1.378475588883428e-14	-1.076706774512186e-15	1.094038733717717e-06	2.521468531080373e-05	3.767642573276692e-07	1e-05
-91	-1581.604930009902	-1016.317128677202	-154.7107879278396	14.84229327061416	1.970794943734413	-0.5172533595868629	0.03149921585223512	0.006108495409645438	-0.001789484075671086	0.000201919345860443	9.752694714056677e-07	-4.91527542398149e-06	1.01476810453293e-06	-1.001760447812313e-07	-2.896275462391518e-09	3.101910502213237e-09	-6.039157692334646e-10	5.137059910064466e-11	4.882696102962321e-12	-2.385540303082932e-12	3.226409249076605e-13	1.668022526978796e-14	-1.300857803224145e-14	-1.013123475168115e-15	1.871405236553159e-06	2.503721963686978e-05	3.767642573276692e-07	1e-05
