particle charge	B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	relative error min	relative error max	min radius	max radius
-25	-509.3982030397077	-266.4388573188601	-24.71726912238825	5.716328289278982	0.1526350574229897	-0.1636044066876537	0.01710160292156533	0.002428398876144198	-0.0008686219095491326	1.92341364502627e-05	3.304254317968634e-05	2.495109411885612e-06	1.610458888468003e-08	1.790289070657813e-06	1.398433494496983e-06	1e-05
-24	-508.1190200603039	-266.6947363223413	-25.31213221459146	5.611357954005196	0.1735241709828295	-0.160901381580292	0.01607324002171549	0.002435575483337067	-0.0008285323746032577	1.555434047312403e-05	3.119316108318742e-05	2.363353965291881e-06	5.220544663231408e-09	3.535305767354835e-06	1.253653374216174e-06	1e-05
-23	-304.999777648315	-106.1367093452966	12.6541000801977	5.423674083702609	-0.7154746168883714	-0.1166729319938072	0.03700676542609802	-0.0003888529874186829	-0.001269938093548549	0.0001236683841062911	5.199009463068387e-05	3.312743584692524e-06	1.043688262480913e-07	2.853188590945521e-06	1.123862370908758e-06	1e-05
-22	-244.9525031902755	-59.77417957380423	23.36720312501101	5.404295752287465	-0.9433904606436854	-0.1062504610153583	0.0417824158883487	-0.001002502399003998	-0.001353348242949562	0.0001437730308497006	5.518108586166806e-05	3.422053232146287e-06	1.22018005921376e-07	4.279253833505692e-06	1.007508658072544e-06	1e-05
-21	-322.7360624896994	-124.6410227962616	6.663993154357717	5.197609398002148	-0.5432320518826573	-0.116753758055067	0.03133614686473225	9.020255059991281e-05	-0.001100703568602406	9.565686796329544e-05	4.383098923592544e-05	2.827352814578228e-06	1.035193493148512e-07	3.910867053980027e-06	1.007508658072544e-06	1e-05
-20	-274.4107586591641	-87.89853996714241	14.9721342391423	5.163626260809588	-0.7141980868318863	-0.1082835009912397	0.03470425402053263	-0.0003643767390554977	-0.001152841954988608	0.0001094177088287558	4.568468617890146e-05	2.873276876609905e-06	3.711648506321552e-07	5.632420975953956e-06	9.032010701366824e-07	1e-05
-19	-232.9182599102714	-56.75073643294429	21.93396776287454	5.151600310036749	-0.8488197255564505	-0.1020094955667288	0.03713597011444856	-0.0006821860767293571	-0.00118343505722113	0.0001176888161633841	4.64449077124599e-05	2.867237783667301e-06	1.111907020900915e-07	7.783361712587755e-06	8.096924692009039e-07	1e-05
-18	-198.5244171795836	-31.42519754017149	27.47078586134701	5.149018788678287	-0.9468942741056195	-0.09751714925321785	0.03864183650487953	-0.0008793984481841481	-0.001193029940884821	0.0001211642879970475	4.62246264964663e-05	2.814594537495057e-06	3.454051551443627e-07	1.05547760410607e-05	7.25864833819832e-07	1e-05
-17	-172.4212512788851	-12.88509657639063	31.32468027685564	5.141601911282822	-1.004394063083578	-0.09452257784703048	0.03914396045235536	-0.0009614670781659075	-0.001180309698225451	0.0001200999935668847	4.504866326495966e-05	2.71652042022757e-06	5.548540631394872e-07	1.38468868147168e-05	6.50715891548648e-07	1e-05
-16	-156.480235039132	-2.630074658476411	33.10499154565309	5.112030495413227	-1.014771857694603	-0.09278096419375605	0.03850950152844791	-0.0009284421838407299	-0.001142863495026375	0.0001145276528354404	4.28955835842442e-05	2.572009086296583e-06	2.798387550573267e-07	1.743749332872024e-05	5.833471354241853e-07	1e-05
-15	-152.0239043852526	-1.714323708078431	32.52909556199739	5.042247262919174	-0.974269354563749	-0.09193468127076516	0.03667550296692658	-0.0007880617916125829	-0.001079858229069795	0.0001047669306363505	3.980707684208119e-05	2.383116275426753e-06	1.662993777129529e-07	2.115097216326411e-05	5.229530811023117e-07	1e-05
-14	-61.72706215861592	68.04101338220065	49.36924204693162	5.42940973583875	-1.274413176833631	-0.08946933539258532	0.04254011569653009	-0.001221803068339051	-0.001176773393154061	0.0001181140483616594	4.220331179030823e-05	2.461874349608022e-06	3.484946020648749e-07	3.053081530834945e-05	4.202754667379372e-07	1e-05
-13	-97.14174976828866	36.67999867828705	40.62065441531152	5.182126752603827	-1.064929026406408	-0.0904273076834195	0.03680001375547828	-0.000766602728283285	-0.001031761939537586	9.600653297565118e-05	3.626721407387641e-05	2.136819686407072e-06	1.277548844047516e-06	3.310088353525309e-05	3.767642573276692e-07	1e-05
-12	-146.8965220745588	-6.240040454968129	28.87913561272364	4.821958974876413	-0.8022515280564891	-0.09053436381566807	0.02992224283607693	-0.0002606691934211538	-0.0008647720106775727	7.187588350765588e-05	2.978070014780428e-05	1.786237023573337e-06	9.769209567966897e-07	3.597897534390881e-05	3.377577727804503e-07	1e-05
-11	-178.4213818064913	-34.38822553572412	20.98562356492183	4.604789126892956	-0.6097227473001091	-0.09139176625481084	0.02462834619143052	0.0001519439177223618	-0.0007311948418174127	5.195280910925612e-05	2.43982576701613e-05	1.491999629882109e-06	3.461445510222205e-07	4.155373097824988e-05	2.714417616594906e-07	1e-05
-10	-296.3532082956312	-131.3711869416095	-4.422886165446016	3.798047096346905	-0.1023784985400076	-0.08985120307674926	0.01256200797996788	0.0009577290535674748	-0.0004641540062897709	1.618027567625919e-05	1.505619743129882e-05	1.008180108982528e-06	2.764663872056872e-06	5.406930617080086e-05	2.18146363786872e-07	1e-05
-9	-510.3964800651641	-304.5885376728218	-49.41657491340018	2.174158125030535	0.7258123698818884	-0.08141760375176367	-0.006098793753911001	0.002032919029324286	-7.277176715239043e-05	-3.124066734095914e-05	2.512015487679944e-06	3.713836675077745e-07	1.135234449112232e-06	0.0002040197224517648	1.753150868993058e-07	1e-05
-8	4178.290597737362	4485.484378572116	1781.39169510008	273.1781371670874	-7.124957419936874	-5.629148931752456	0.09726154732315448	0.1228312633089152	-0.001698880705507193	-0.003126181857295526	-0.0003234019496663735	-1.053460812851132e-05	9.92391510412638e-07	0.0002764901217660043	1.408933853444354e-07	1e-05
-7	6572.424875529495	6932.9269525768	2724.905168612408	418.4734792701541	-9.117976669597432	-8.333146895705157	0.1021137021239186	0.1775080527652041	-0.001546470356580467	-0.004389962504655982	-0.0004613783044067297	-1.520707522982618e-05	2.156744356440754e-06	0.0004399858120756051	1.132301069172511e-07	1e-05
-6	10835.81051391243	11262.9500627531	4389.080115783513	677.6320994307969	-10.76878649319775	-12.82753138726168	0.07347952869920368	0.2630446416719799	-0.0006456826325402641	-0.006218968172546405	-0.0006618485392706679	-2.191383249355924e-05	1.09417687099711e-05	0.0007554914060612372	8.157721730960482e-08	1e-05
-5	13244.15207434321	13692.18289393852	5334.8773462506	837.6431824069086	-6.497776108810427	-14.86280614026587	-0.04668780211173303	0.2907384254768075	0.001663194455252792	-0.006490683796035172	-0.0007023715428848584	-2.332590255955917e-05	3.872826286555053e-06	0.0008093719325550364	5.268797569762922e-08	1e-05
-4	3938.729459110893	4356.0292880304	1812.628532212749	311.5988457187613	2.606077462662085	-5.256279020425534	-0.1115557199789936	0.1013971263983293	0.002203120906847638	-0.002185345662947547	-0.0002528750269707867	-8.690764852484536e-06	2.503855856939019e-05	0.00353567468766669	3.402938804076029e-08	1e-05
-3	-16600.3258631195	-16059.17398951356	-5899.297477211858	-889.3720619418431	-0.3511540040913571	13.07820350638132	0.1494622809152943	-0.2165538243225712	-0.002794922573801211	0.004054956841707034	0.0004200761804527175	1.314815626323974e-05	0.0003752539450353476	0.007990290729311456	1.583447740985584e-08	1e-05
-2	-1672.867775350727	-1583.306766457507	-582.3720642008033	-91.97359113075075	-1.568748488256809	1.164629174680927	0.03788660278041543	-0.01768478033510033	-0.0005778684507296507	0.000299084604278564	3.332336002630458e-05	1.069882730390284e-06	6.786260663804722e-05	0.01063088855177763	5.308359169167727e-09	1e-05
-1	-16256.24302513472	-18104.59519063551	-8385.18751635308	-2013.540812619644	-238.2129570032023	-4.221364439242806	2.134763807605387	0.153529237005573	-0.01647863678832515	-0.003055500953947007	-0.0001751324777999281	-3.643940565733972e-06	0.000160305449885989	0.009684496936619102	2e-10	1e-05
0	-5620.580615855588	-6020.281150253605	-2682.720554337559	-618.3142058251258	-69.39589166091982	-0.8629661088069351	0.6272800207320783	0.04026159758545575	-0.004881768711602816	-0.0008311526316612112	-4.560454862192678e-05	-9.14436016204325e-07	8.798512616703391e-06	0.004259230015711823	2e-10	1e-05
1	-11669.46524419465	-13208.13801547822	-6229.185886813625	-1527.062166110873	-185.6708179146991	-3.814382449597352	1.655664123138045	0.1262855504026318	-0.01271686178942976	-0.002470988460025492	-0.0001448229201949434	-3.068294468877771e-06	7.282015960619059e-05	0.006614143712780685	2e-10	1e-05
2	-11364.94684360679	-10909.62451051939	-4006.413925813445	-619.6917976542637	-7.637104223410326	7.954515209788541	0.2017758488789823	-0.1196015244412804	-0.003047397621542594	0.002006617478685773	0.0002131261027264777	6.631162680281141e-06	6.670230005179079e-05	0.01193016861037433	5.921403328592062e-09	1e-05
3	-5764.226169619205	-5223.680918959416	-1770.930453470834	-234.5542674631724	4.401571067064403	3.418007251049022	-0.0440097987745201	-0.05273798291238244	0.0006633754966853541	0.0009364347858777449	7.814224205764212e-05	2.005107390941037e-06	6.26425504040018e-05	0.01230375745095524	1.76631467941791e-08	1e-05
4	13378.10631515542	13715.26547159727	5311.204533903537	835.7512117021216	-3.001718213271598	-14.10732176760596	-0.1071476874993932	0.2650733120790089	0.002569688298971444	-0.005655362659661236	-0.0006118639673359015	-2.015785581514091e-05	5.235269354919581e-05	0.001336477959605009	3.795932513098986e-08	1e-05
5	12509.38428946078	12861.69406116226	4972.044534351865	768.5587723166421	-8.728561677329289	-13.82532452477927	0.0135930873559063	0.2718600214394009	0.0004937922243827826	-0.006128022192926411	-0.0006515897934270276	-2.139863261256321e-05	4.313191490523671e-06	0.002478801216051929	5.877272896016841e-08	1e-05
6	4998.592531850841	5269.355431515647	2068.101000625368	318.5406849374335	-5.929013135951299	-6.129025525380263	0.05729527476649802	0.1266067553484843	-0.0008129800579613524	-0.003021016824672583	-0.000314676429351033	-1.022634406087228e-05	5.048760054249257e-06	0.0005739081481681563	9.099828981430945e-08	1e-05
7	802.5106441987282	991.3344415500042	426.8278247366065	68.98351762295773	-1.58922815582707	-1.406052597874578	0.02635696585748177	0.02975359607522621	-0.0005799663887749094	-0.000723163892842808	-6.818734210454232e-05	-1.965315103887731e-06	6.449720083123722e-06	0.0002265291254071045	1.263066628744654e-07	1e-05
8	-190.3338893693972	-53.00128610852484	13.0717489949502	3.98595400671014	-0.3938978514500609	-0.08089653437237462	0.01738096822425715	0.0004262396690893885	-0.0005200321734179212	2.950856889376589e-05	1.628754655611282e-05	1.002519775871886e-06	1.242099683107512e-06	7.725574476480368e-05	1.753150868993058e-07	1e-05
9	-110.3925970804132	14.11977441687104	31.09002953285741	4.626360729592764	-0.7569233263191368	-0.08390859801099983	0.02621193134316249	-0.000117198417633696	-0.0007197086533664603	5.488516602288599e-05	2.320762598436876e-05	1.366900690662128e-06	1.126574805443425e-06	7.101178920132512e-05	2.18146363786872e-07	1e-05
10	-97.40295446468349	27.89614960047794	35.47362999021028	4.771847213891179	-0.8812829747653359	-0.08408936214359158	0.02997242774977095	-0.0003920205235387875	-0.000820768914457432	6.925489050967969e-05	2.731694492101318e-05	1.597133920319395e-06	7.684459226720008e-07	5.926328481486998e-05	2.714417616594906e-07	1e-05
11	-138.5704038976174	-1.675228926805927	28.89517349857199	4.61662047978419	-0.7949003283590659	-0.08470774131382049	0.02905668572795691	-0.0003399224309781609	-0.0008271322697455106	7.075958499851059e-05	2.837008888356898e-05	1.681323701875005e-06	1.725170348243488e-06	4.82839818215508e-05	3.377577727804503e-07	1e-05
12	-216.8116187104652	-61.07333696588671	14.89062890120714	4.348713397105104	-0.5489749924392864	-0.08839398843439356	0.0244284363227475	4.892776566585042e-05	-0.0007551031136812832	5.926247747164163e-05	2.653188912900172e-05	1.627481646760215e-06	1.293628071996622e-06	3.283270772835856e-05	4.202754667379372e-07	1e-05
13	-315.9041430523914	-137.3596871982243	-3.188693396729592	4.113283025530413	-0.199176151747403	-0.09685437867398614	0.01722639454030664	0.0007528848694450109	-0.0006258693986326674	3.565927496255328e-05	2.218656150631141e-05	1.454379830158155e-06	5.269298101184816e-07	1.974825910022737e-05	5.229530811023117e-07	1e-05
14	-324.93798511259	-141.9225579271508	-3.416581824121419	4.24501467640282	-0.2091789987742269	-0.1005972014865885	0.01818037744135422	0.0007656721500229162	-0.0006660942105531438	3.911540513128476e-05	2.396595221883641e-05	1.576560229468944e-06	3.553530363298307e-07	1.574574374096915e-05	5.833471354241853e-07	1e-05
15	-442.7996478004074	-233.5731246295269	-25.0598662039831	4.149610734621299	0.2499614573948027	-0.1173644493960728	0.008097100983593926	0.001928184469288482	-0.000469774964900381	-2.436200822875314e-06	1.610990116791425e-05	1.237248874938139e-06	4.227156584768466e-07	8.163532827509812e-06	7.25864833819832e-07	1e-05
16	-468.2961239031133	-251.5904702894465	-28.58259322657469	4.293594842434014	0.3219521826027487	-0.1249390597871819	0.00700682524948395	0.002205462811184558	-0.0004643575476845237	-9.495486673620308e-06	1.575827542116147e-05	1.258743063383034e-06	7.049553274462994e-09	6.044883158473624e-06	8.096924692009039e-07	1e-05
17	-587.2596565629955	-344.2553158283119	-50.06652237056223	4.463558170320922	0.8177597452241747	-0.151461104854337	-0.004330036588837749	0.003790596913914403	-0.0002341692403348497	-6.821729479401475e-05	4.916748822099885e-06	7.800456018138724e-07	7.033975157888506e-08	2.7431630575947e-06	1.007508658072544e-06	1e-05
18	-618.604831530455	-367.1294246145256	-54.66896772544299	4.688909781908461	0.9281827398013913	-0.1634557842557984	-0.006484105395826139	0.004299617085924873	-0.000203241522712132	-8.488146274350933e-05	2.814166322004713e-06	7.197765837711934e-07	4.831373023872487e-08	1.981555584396055e-06	1.123862370908758e-06	1e-05
19	-446.3465403857892	-227.6965863040355	-20.43868382378275	4.763771357932693	0.1114130423590525	-0.1309398632532654	0.01386718722319534	0.001830664459500151	-0.0006683108838980694	1.650639291121203e-05	2.451323009471477e-05	1.796735513256737e-06	4.465997505143093e-08	4.017432764347184e-06	1.253653374216174e-06	1e-05
